,series,trial,intensity,rating,fired
0,0,0,41,26.500000000000057,1
1,0,1,42,55.500000000000085,1
2,0,2,43,69.50000000000004,1
3,0,3,44,69.49999999999993,1
4,1,0,41,16.999999999999996,1
5,1,1,42,29.00000000000011,1
6,1,2,43,43.49999999999995,1
7,1,3,44,40.99999999999996,1
8,1,4,45,45.49999999999991,1
9,1,5,46,71.5,1
10,2,0,41,12.000000000000073,1
11,2,1,42,17.50000000000014,1
12,2,2,43,23.50000000000002,1
13,2,3,44,35.000000000000014,1
14,2,4,45,41.0000000000001,1
15,2,5,46,56.49999999999998,1
16,2,6,47,76.99999999999994,1
