,series,trial,intensity,rating,fired
0,0,0,41,0.0,1
1,0,1,42,0.0,1
2,0,2,43,0.9999999999999969,1
3,0,3,44,3.0000000000000226,1
4,0,4,45,6.000000000000165,1
5,0,5,46,13.500000000000208,1
6,0,6,47,32.50000000000017,1
7,0,7,48,66.99999999999994,1
8,1,0,41,0.0,1
9,1,1,42,0.0,1
10,1,2,43,3.000000000000058,1
11,1,3,44,8.500000000000096,1
12,1,4,45,21.000000000000078,1
13,1,5,46,31.499999999999957,1
14,1,6,47,43.99999999999992,1
15,1,7,48,70.49999999999982,1
16,2,0,41,0.0,1
17,2,1,42,0.0,1
18,2,2,43,2.5000000000000226,1
19,2,3,44,6.000000000000059,1
20,2,4,45,20.000000000000213,1
21,2,5,46,31.500000000000135,1
22,2,6,47,55.49999999999991,1
23,2,7,48,81.49999999999994,1
