,series,trial,intensity,rating,fired
0,0,0,41,16.500000000000007,1
1,0,1,42,43.00000000000006,1
2,0,2,43,57.4999999999999,1
3,0,3,44,73.99999999999984,1
4,0,4,45,82.99999999999983,1
5,0,5,46,85.99999999999987,1
6,1,0,41,10.500000000000204,1
7,1,1,42,15.00000000000021,1
8,1,2,43,30.000000000000142,1
9,1,3,44,44.99999999999992,1
10,1,4,45,62.999999999999886,1
11,1,5,46,77.49999999999983,1
12,1,6,47,89.5,1
13,2,0,41,4.000000000000129,1
14,2,1,42,17.000000000000103,1
15,2,2,43,38.500000000000114,1
16,2,3,44,55.49999999999998,1
17,2,4,45,83.50000000000001,1
18,2,5,46,90.00000000000014,1
