,series,trial,intensity,rating,fired
0,0,0,41,37.50000000000001,1
1,0,1,42,39.49999999999993,1
2,0,2,43,54.499999999999986,1
3,0,3,44,71.49999999999983,1
4,0,4,45,78.49999999999986,1
5,1,0,41,27.000000000000153,1
6,1,1,42,29.000000000000075,1
7,1,2,43,36.99999999999994,1
8,1,3,44,54.00000000000002,1
9,1,4,45,72.49999999999991,1
10,1,5,46,81.99999999999982,1
11,2,0,41,6.0000000000000675,1
12,2,1,42,18.000000000000107,1
13,2,2,43,54.499999999999886,1
14,2,3,44,63.99999999999995,1
15,2,4,45,76.99999999999987,1
