trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,threshold,slope,lowerAsymptote,lapseRate,pic_a_utiliser,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,31.395320200012065,,0.01134910000837408,31.363692900020396,31.365753499994753,36.3788143999991,36.37882690000697,36.39538810000522,43.87891620001756,43.87891620001756,46.59562820001156,46.87898979999591,46.87898979999591,46.86285420000786,3.77,4.28,452,428,7.5,3.5,1.2,0.75,465,0,469,0.4000000000000001,1,m,1.959049800003413,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
1,0,1,0,46.87898979999591,,,,46.86810190000688,51.86295310000423,51.862965100008296,51.89587440001196,59.37927220002166,59.37927220002166,62.09600700001465,62.379336400015745,62.379336400015745,62.363232000003336,3.83,4.22,458,422,7.5,3.5,1.2,0.75,465,1,469,0.4000000000000001,1,m,0.4781183000013698,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
2,0,2,0,62.379336400015745,,,,62.36950100000831,67.36323720001383,67.36324950002017,67.37946560001001,74.87959050000063,74.87959050000063,77.5796903000155,77.8963514000061,77.8963514000061,77.86358610002208,3.62,4.43,437,443,7.5,3.5,1.2,0.75,465,2,471,0.6000000000000001,0,n,0.6859611000108998,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
3,0,3,0,77.8963514000061,,,,77.8696974000195,82.87988310001674,82.87989500002004,82.89647390000755,90.37997150002047,90.37997150002047,93.0967013000045,93.38005619999603,93.38005619999603,93.36395520000951,4.13,3.92,488,392,7.5,3.5,1.2,0.75,465,3,473,0.8000000000000003,0,n,0.6617376999929547,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
4,0,4,0,93.38005619999603,,,,93.3682439000113,98.36410330000217,98.36411600001156,98.3801510000194,105.88032890000613,105.88032890000613,108.58039240000653,108.88041390001308,108.88041390001308,108.8642938999983,3.8,4.25,455,425,7.5,3.5,1.2,0.75,465,0,473,0.8000000000000003,1,m,0.3577495999925304,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
5,0,5,0,108.88041390001308,,,,108.87040380001417,113.86438000001363,113.86439220001921,113.88052040000912,121.38070670000161,121.38070670000161,124.08074679999845,124.38077280001016,124.38077280001016,124.36467430001358,4.13,3.92,488,392,7.5,3.5,1.2,0.75,465,1,476,1.1000000000000003,1,m,0.6092363000207115,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
6,0,6,0,124.38077280001016,,,,124.36993240000447,129.36483400000725,129.36484660001588,129.3808934999979,136.88106230000267,136.88106230000267,139.5811244000215,139.88111610000487,139.88111610000487,139.86504410000634,3.81,4.24,456,424,7.5,3.5,1.2,0.75,465,2,475,1.0000000000000002,1,m,0.4880029000050854,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
7,0,7,0,139.88111610000487,,,,139.8703357000195,144.86498559999745,144.86499800000456,144.88123309999355,152.38139190000948,152.38139190000948,155.08148280001478,155.38147260001278,155.38147260001278,155.36541530000977,3.47,4.58,422,458,7.5,3.5,1.2,0.75,465,3,474,0.9000000000000001,0,n,0.4602690000028815,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
8,0,8,0,155.38147260001278,,,,155.371527100011,160.36539720001747,160.36540969999623,160.3815889999969,167.8817623000068,167.8817623000068,170.58184130000882,170.88184780001757,170.88184780001757,170.86572940001497,3.74,4.31,449,430,7.5,3.5,1.2,0.75,465,0,475,1.0000000000000002,0,n,0.8597702000115532,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
9,0,9,0,170.88184780001757,,,,170.87003990000812,175.86583320001955,175.86584579999908,175.8819512000191,183.3821173000033,183.3821173000033,186.08218220001436,186.38219990002108,186.38219990002108,186.36620930000208,4.12,3.93,487,393,7.5,3.5,1.2,0.75,465,1,473,0.8000000000000003,0,n,0.9714087000174914,None,,,,,,,,,,sub-006,COM3,46.5,2024-01-25_12h18.42.932,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00513643338422,2024-01-25 12h18.56.135685 -0500,
