,series,trial,intensity,rating,fired
0,0,0,41,50.0,1
1,0,1,42,24.999999999999982,1
2,0,2,43,31.499999999999968,1
3,0,3,44,62.49999999999986,1
4,0,4,45,74.99999999999989,1
5,0,5,46,89.49999999999991,1
6,0,6,47,92.00000000000017,1
7,0,7,48,98.50000000000006,1
8,0,8,49,100.0,1
9,1,0,41,2.5000000000001292,1
10,1,1,42,1.5000000000000675,1
11,1,2,43,9.500000000000169,1
12,1,3,44,9.500000000000204,1
13,1,4,45,20.000000000000107,1
14,1,5,46,37.50000000000008,1
15,1,6,47,47.499999999999915,1
16,1,7,48,100.0,1
17,2,0,41,2.5000000000002003,1
18,2,1,42,7.000000000000068,1
19,2,2,43,14.000000000000137,1
20,2,3,44,23.000000000000096,1
21,2,4,45,44.499999999999915,1
22,2,5,46,47.50000000000008,1
23,2,6,47,55.99999999999991,1
24,2,7,48,91.50000000000017,1
25,2,8,49,100.0,1
