,series,trial,intensity,rating,fired
0,0,0,41,13.500000000000137,1
1,0,1,42,22.00000000000017,1
2,0,2,43,36.99999999999997,1
3,0,3,44,48.00000000000008,1
4,0,4,45,52.999999999999915,1
5,0,5,46,64.49999999999986,1
6,0,6,47,67.99999999999983,1
7,1,0,41,7.499999999999998,1
8,1,1,42,14.500000000000137,1
9,1,2,43,18.500000000000107,1
10,1,3,44,26.000000000000014,1
11,1,4,45,39.00000000000014,1
12,1,5,46,48.00000000000001,1
13,1,6,47,57.000000000000014,1
14,1,7,48,64.49999999999999,1
15,1,8,49,75.99999999999997,1
16,2,0,41,12.499999999999993,1
17,2,1,42,16.999999999999996,1
18,2,2,43,26.500000000000085,1
19,2,3,44,30.500000000000142,1
20,2,4,45,36.500000000000085,1
21,2,5,46,38.49999999999997,1
22,2,6,47,57.99999999999987,1
