,series,trial,intensity,rating,fired
0,0,0,41,0.0,1
1,0,1,42,1.5000000000000002,1
2,0,2,43,3.5000000000000226,1
3,0,3,44,9.000000000000025,1
4,0,4,45,17.500000000000103,1
5,0,5,46,27.50000000000015,1
6,0,6,47,29.00000000000004,1
7,0,7,48,45.000000000000085,1
8,0,8,49,62.49999999999992,1
9,1,0,41,3.0000000000001648,1
10,1,1,42,3.0,1
11,1,2,43,2.0000000000000675,1
12,1,3,44,12.500000000000206,1
13,1,4,45,16.000000000000007,1
14,1,5,46,21.00000000000014,1
15,1,6,47,30.49999999999997,1
16,1,7,48,48.99999999999997,1
17,1,8,49,68.99999999999997,1
18,2,0,41,0.0,1
19,2,1,42,1.0000000000000229,1
20,2,2,43,3.5000000000000226,1
21,2,3,44,13.000000000000135,1
22,2,4,45,21.500000000000135,1
23,2,5,46,23.00000000000013,1
24,2,6,47,44.99999999999994,1
25,2,7,48,68.50000000000004,1
